@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module psth, 10/31/16 at 12:09:40 -07:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "time (ps)"
@yaxis label "impact displacement (pm)"
@s0 errorbar size 0.0
@type xydy
  3.75095E+00  4.21770E-02  1.52919E-04
  3.76678E+00 -3.39007E-03  9.26468E-04
  3.78261E+00 -4.17105E-02  1.23600E-03
  3.79843E+00 -5.01599E-02  5.92536E-04
  3.81426E+00 -2.71311E-02  5.12004E-04
  3.83009E+00  8.08764E-03  1.26159E-03
  3.84591E+00  2.97261E-02  1.08959E-03
  3.86174E+00  2.38248E-02  7.29070E-05
  3.87757E+00 -2.49803E-03  1.12478E-03
  3.89339E+00 -2.70918E-02  1.71552E-03
  3.90922E+00 -2.94739E-02  1.33009E-03
  3.92505E+00 -6.05404E-03  2.65623E-04
  3.94087E+00  2.70290E-02  7.27864E-04
  3.95670E+00  4.54193E-02  9.57282E-04
  3.97253E+00  3.41279E-02  1.02870E-04
  3.98835E+00 -1.36156E-03  9.02121E-04
  4.00418E+00 -3.83741E-02  1.47353E-03
  4.02001E+00 -5.24410E-02  1.16751E-03
  4.03583E+00 -3.40585E-02  8.54130E-05
  4.05166E+00  4.81901E-03  1.12726E-03
  4.06749E+00  3.89363E-02  1.72705E-03
  4.08332E+00  4.67674E-02  1.38454E-03
  4.09914E+00  2.46631E-02  4.11409E-04
  4.11497E+00 -1.13910E-02  4.49405E-04
  4.13080E+00 -3.72067E-02  6.67737E-04
  4.14662E+00 -3.68228E-02  1.01866E-04
  4.16245E+00 -1.26481E-02  8.90135E-04
  4.17828E+00  1.72502E-02  1.53278E-03
  4.19410E+00  3.22701E-02  1.31738E-03
  4.20993E+00  2.34034E-02  3.36236E-04
  4.22576E+00 -1.29196E-03  7.85597E-04
  4.24158E+00 -2.31897E-02  1.32048E-03
  4.25741E+00 -2.65541E-02  9.37519E-04
  4.27324E+00 -9.42267E-03  7.07374E-05
  4.28906E+00  1.54522E-02  9.90450E-04
  4.30489E+00  2.98723E-02  1.17831E-03
  4.32072E+00  2.29722E-02  5.01715E-04
  4.33654E+00 -1.32471E-03  5.73664E-04
  4.35237E+00 -2.70722E-02  1.30731E-03
  4.36820E+00 -3.71298E-02  1.19535E-03
  4.38402E+00 -2.45708E-02  3.17381E-04
  4.39985E+00  2.91519E-03  7.19973E-04
  4.41568E+00  2.82917E-02  1.20295E-03
  4.43150E+00  3.63255E-02  8.02998E-04
  4.44733E+00  2.31546E-02  1.96159E-04
  4.46316E+00 -1.81954E-03  1.09133E-03
  4.47899E+00 -2.25693E-02  1.24860E-03
  4.49481E+00 -2.69345E-02  5.40071E-04
  4.51064E+00 -1.40695E-02  5.76003E-04
  4.52647E+00  5.75468E-03  1.37605E-03
  4.54229E+00  1.84731E-02  1.37160E-03
  4.55812E+00  1.56315E-02  6.45077E-04
  4.57395E+00 -2.65460E-04  2.04484E-04
  4.58977E+00 -1.77447E-02  5.74581E-04
  4.60560E+00 -2.41650E-02  2.75673E-04
  4.62143E+00 -1.41384E-02  6.23506E-04
  4.63725E+00  6.86403E-03  1.41459E-03
