PHOENIX module psth; 10/31/16 at 12:16:51 -07:00
temperature (K),vibrational kinetic energy (meV/atom),error of vibrational kinetic energy (meV/atom)
 1.58002E+03, 6.83109E+01, 3.64850E-02
 1.59002E+03, 6.87402E+01, 3.67141E-02
 1.60002E+03, 6.91696E+01, 3.69433E-02
 1.61002E+03, 6.95991E+01, 3.71724E-02
 1.62002E+03, 7.00285E+01, 3.74016E-02
 1.63002E+03, 7.04579E+01, 3.76308E-02
 1.64002E+03, 7.08874E+01, 3.78600E-02
 1.65002E+03, 7.13169E+01, 3.80892E-02
 1.66002E+03, 7.17464E+01, 3.83184E-02
 1.67002E+03, 7.21759E+01, 3.85477E-02
 1.68002E+03, 7.26055E+01, 3.87769E-02
 1.69002E+03, 7.30350E+01, 3.90061E-02
 1.70002E+03, 7.34646E+01, 3.92354E-02
 1.71001E+03, 7.38942E+01, 3.94647E-02
 1.72001E+03, 7.43238E+01, 3.96939E-02
 1.73001E+03, 7.47534E+01, 3.99232E-02
 1.74001E+03, 7.51830E+01, 4.01525E-02
 1.75001E+03, 7.56126E+01, 4.03818E-02
 1.76001E+03, 7.60423E+01, 4.06111E-02
 1.77001E+03, 7.64719E+01, 4.08404E-02
 1.78001E+03, 7.69016E+01, 4.10698E-02
 1.79001E+03, 7.73313E+01, 4.12991E-02
 1.80001E+03, 7.77610E+01, 4.15284E-02
 1.81001E+03, 7.81907E+01, 4.17578E-02
 1.82001E+03, 7.86205E+01, 4.19871E-02
 1.83001E+03, 7.90502E+01, 4.22165E-02
 1.84001E+03, 7.94800E+01, 4.24459E-02
 1.85001E+03, 7.99097E+01, 4.26753E-02
 1.86001E+03, 8.03395E+01, 4.29046E-02
 1.87001E+03, 8.07693E+01, 4.31340E-02
 1.88001E+03, 8.11991E+01, 4.33634E-02
 1.89001E+03, 8.16289E+01, 4.35928E-02
 1.90001E+03, 8.20587E+01, 4.38222E-02
 1.91000E+03, 8.24886E+01, 4.40517E-02
 1.92000E+03, 8.29184E+01, 4.42811E-02
 1.93000E+03, 8.33483E+01, 4.45105E-02
 1.94000E+03, 8.37781E+01, 4.47399E-02
 1.95000E+03, 8.42080E+01, 4.49694E-02
 1.96000E+03, 8.46379E+01, 4.51988E-02
 1.97000E+03, 8.50678E+01, 4.54283E-02
 1.98000E+03, 8.54977E+01, 4.56577E-02
 1.99000E+03, 8.59276E+01, 4.58872E-02
 2.00000E+03, 8.63575E+01, 4.61167E-02
