Date of conversion : 10/31/16,Time of conversion : 13:23:38 -07:00
Fit function for dominant peak is of exponential type,asymmetry factor :  0.90,shape coefficient :  1.60
,detailed imbalance,Chi^2,peak,FWHM,position,%background,input file
  ,ok,   1.46,5.44E+02,  0.96,  -0.568,   0.91,   data/3idb_0375.mda
  ,ok,   1.94,6.68E+02,  0.94,  -0.765,   0.52,   data/3idb_0376.mda
  ,ok,   1.42,6.04E+02,  0.97,  -2.188,   0.88,   data/3idb_0377.mda
  ,ok,   1.35,5.04E+02,  0.92,  -3.640,   0.74,   data/3idb_0378.mda

PHOENIX module padd; 10/31/16 at 13:23:38 -07:00
energy (meV),counts,error of counts
-2.84118E+01, 9.93032E+00, 3.90647E+00
-2.81618E+01, 1.64122E+01, 3.73950E+00
-2.79118E+01, 1.37806E+01, 4.00334E+00
-2.76618E+01, 1.12421E+01, 2.19601E+00
-2.74118E+01, 8.82445E+00, 3.89901E+00
-2.71618E+01, 1.75939E+01, 3.46053E+00
-2.69118E+01, 9.74439E+00, 3.36234E+00
-2.66618E+01, 1.28481E+01, 3.38466E+00
-2.64118E+01, 1.60573E+01, 4.30918E+00
-2.61618E+01, 1.72853E+01, 3.87397E+00
-2.59118E+01, 1.32558E+01, 3.22578E+00
-2.56618E+01, 1.11407E+01, 3.60712E+00
-2.54118E+01, 1.44066E+01, 3.74995E+00
-2.51618E+01, 1.56726E+01, 3.82774E+00
-2.49118E+01, 1.33394E+01, 3.94201E+00
-2.46618E+01, 1.64334E+01, 3.56495E+00
-2.44118E+01, 1.28998E+01, 3.83646E+00
-2.41618E+01, 1.79308E+01, 3.83042E+00
-2.39118E+01, 1.17386E+01, 3.35523E+00
-2.36618E+01, 1.25867E+01, 3.93183E+00
-2.34118E+01, 1.53040E+01, 3.99452E+00
-2.31618E+01, 1.46480E+01, 3.30103E+00
-2.29118E+01, 1.33627E+01, 3.75987E+00
-2.26618E+01, 1.57525E+01, 3.76913E+00
-2.24118E+01, 1.36333E+01, 3.75756E+00
-2.21618E+01, 1.02128E+01, 2.77790E+00
-2.19118E+01, 9.44820E+00, 3.23259E+00
-2.16618E+01, 1.38684E+01, 3.93810E+00
-2.14118E+01, 1.65146E+01, 3.93504E+00
-2.11618E+01, 1.29433E+01, 3.35578E+00
-2.09118E+01, 1.25067E+01, 3.67666E+00
-2.06618E+01, 1.49993E+01, 3.66408E+00
-2.04118E+01, 2.14822E+01, 4.72493E+00
-2.01618E+01, 1.27421E+01, 3.06476E+00
-1.99118E+01, 1.14900E+01, 3.68171E+00
-1.96618E+01, 1.17383E+01, 3.25478E+00
-1.94118E+01, 1.30321E+01, 3.68415E+00
-1.91618E+01, 1.71038E+01, 3.91427E+00
-1.89118E+01, 1.33547E+01, 4.01236E+00
-1.86618E+01, 1.14790E+01, 2.58148E+00
-1.84118E+01, 9.53126E+00, 3.42089E+00
-1.81618E+01, 1.21038E+01, 3.38634E+00
-1.79118E+01, 9.49774E+00, 2.98668E+00
-1.76618E+01, 1.30718E+01, 3.77706E+00
-1.74118E+01, 1.45853E+01, 3.35708E+00
-1.71618E+01, 1.08874E+01, 3.50090E+00
-1.69118E+01, 1.02951E+01, 3.52718E+00
-1.66618E+01, 1.09540E+01, 3.32257E+00
-1.64118E+01, 1.65589E+01, 3.69720E+00
-1.61618E+01, 1.11977E+01, 2.92327E+00
-1.59118E+01, 8.30587E+00, 3.09673E+00
-1.56618E+01, 7.75656E+00, 3.11035E+00
-1.54118E+01, 1.27678E+01, 3.69092E+00
-1.51618E+01, 1.69037E+01, 4.07214E+00
-1.49118E+01, 1.64098E+01, 3.69913E+00
-1.46618E+01, 1.33197E+01, 3.78918E+00
-1.44118E+01, 1.25490E+01, 3.29078E+00
-1.41618E+01, 1.17187E+01, 3.79443E+00
-1.39118E+01, 1.53544E+01, 3.54767E+00
-1.36618E+01, 1.13277E+01, 3.65774E+00
-1.34118E+01, 1.26821E+01, 3.26250E+00
-1.31618E+01, 1.24436E+01, 3.38322E+00
-1.29118E+01, 1.10244E+01, 3.36035E+00
-1.26618E+01, 1.69560E+01, 4.72657E+00
-1.24118E+01, 2.04983E+01, 4.32458E+00
-1.21618E+01, 1.79538E+01, 4.01993E+00
-1.19118E+01, 1.26758E+01, 2.76941E+00
-1.16618E+01, 8.26344E+00, 3.46038E+00
-1.14118E+01, 1.40740E+01, 3.21520E+00
-1.11618E+01, 6.84778E+00, 2.75635E+00
-1.09118E+01, 1.40460E+01, 3.90914E+00
-1.06618E+01, 1.03199E+01, 2.81680E+00
-1.04118E+01, 6.77877E+00, 2.93159E+00
-1.01618E+01, 1.18037E+01, 3.48446E+00
-9.91180E+00, 1.48098E+01, 3.93990E+00
-9.66180E+00, 1.76256E+01, 4.25623E+00
-9.41180E+00, 1.68634E+01, 3.48536E+00
-9.16180E+00, 1.44507E+01, 3.89670E+00
-8.91180E+00, 1.03061E+01, 2.81284E+00
-8.66180E+00, 6.00842E+00, 3.00075E+00
-8.41180E+00, 1.40382E+01, 3.95765E+00
-8.16180E+00, 1.12385E+01, 3.14990E+00
-7.91180E+00, 9.91766E+00, 3.08348E+00
-7.66180E+00, 1.26728E+01, 3.85055E+00
-7.41180E+00, 1.99171E+01, 4.31667E+00
-7.16180E+00, 1.24081E+01, 2.92470E+00
-6.91180E+00, 9.55177E+00, 3.48267E+00
-6.66180E+00, 1.48673E+01, 3.82081E+00
-6.41180E+00, 1.40977E+01, 3.92482E+00
-6.16180E+00, 1.47263E+01, 3.82097E+00
-5.91180E+00, 1.68830E+01, 4.05115E+00
-5.66180E+00, 1.31179E+01, 3.13748E+00
-5.41180E+00, 1.12314E+01, 3.56026E+00
-5.16180E+00, 1.20067E+01, 3.28671E+00
-4.91180E+00, 1.16081E+01, 3.65034E+00
-4.66180E+00, 1.01985E+01, 2.88860E+00
-4.41180E+00, 1.31781E+01, 4.36982E+00
-4.16180E+00, 1.89934E+01, 4.13955E+00
-3.91180E+00, 1.76650E+01, 4.03484E+00
-3.66180E+00, 2.02822E+01, 4.84844E+00
-3.41180E+00, 2.11255E+01, 4.12180E+00
-3.16180E+00, 2.38427E+01, 4.99516E+00
-2.91180E+00, 2.06606E+01, 4.37470E+00
-2.66180E+00, 2.37714E+01, 5.37498E+00
-2.41180E+00, 2.76335E+01, 5.05249E+00
-2.16180E+00, 2.37620E+01, 4.84881E+00
-1.91180E+00, 3.55559E+01, 6.69033E+00
-1.66180E+00, 4.95769E+01, 7.41880E+00
-1.41180E+00, 6.66271E+01, 8.91235E+00
-1.16180E+00, 1.05168E+02, 1.27741E+01
-9.11800E-01, 3.07058E+02, 2.14543E+01
-6.61800E-01, 7.47779E+02, 3.20273E+01
-4.11800E-01, 1.50257E+03, 4.25672E+01
-1.61800E-01, 2.15873E+03, 4.69944E+01
 8.82003E-02, 2.09199E+03, 4.30888E+01
 3.38200E-01, 1.54626E+03, 3.55412E+01
 5.88200E-01, 8.52764E+02, 2.54056E+01
 8.38200E-01, 4.38865E+02, 1.85891E+01
 1.08820E+00, 2.31971E+02, 1.29618E+01
 1.33820E+00, 1.00540E+02, 8.86884E+00
 1.58820E+00, 4.02376E+01, 5.65447E+00
 1.83820E+00, 2.42836E+01, 4.74029E+00
 2.08820E+00, 1.82636E+01, 3.73026E+00
 2.33820E+00, 1.27233E+01, 3.93804E+00
 2.58820E+00, 2.28639E+01, 4.87531E+00
 2.83820E+00, 1.97917E+01, 3.99682E+00
 3.08820E+00, 1.35368E+01, 4.22068E+00
 3.33820E+00, 1.76404E+01, 3.86786E+00
 3.58820E+00, 1.57242E+01, 4.11136E+00
 3.83820E+00, 1.80598E+01, 4.05256E+00
 4.08820E+00, 1.38874E+01, 3.81846E+00
 4.33820E+00, 1.50936E+01, 3.86677E+00
 4.58820E+00, 1.76643E+01, 4.19514E+00
 4.83820E+00, 1.52164E+01, 3.43651E+00
 5.08820E+00, 1.31178E+01, 3.97928E+00
 5.33820E+00, 1.59814E+01, 3.99160E+00
 5.58820E+00, 1.58909E+01, 4.22474E+00
 5.83820E+00, 1.69717E+01, 4.09118E+00
 6.08820E+00, 1.50556E+01, 3.37910E+00
 6.33820E+00, 9.32508E+00, 2.88075E+00
 6.58820E+00, 1.51832E+01, 4.20619E+00
 6.83820E+00, 1.69351E+01, 4.09938E+00
 7.08820E+00, 1.88278E+01, 4.43087E+00
 7.33820E+00, 1.61042E+01, 3.87929E+00
 7.58820E+00, 1.53847E+01, 4.41265E+00
 7.83820E+00, 1.91247E+01, 3.68031E+00
 8.08820E+00, 1.74375E+01, 4.57665E+00
 8.33820E+00, 2.03076E+01, 4.23447E+00
 8.58820E+00, 1.59656E+01, 4.25357E+00
 8.83820E+00, 2.10444E+01, 4.57255E+00
 9.08820E+00, 2.00410E+01, 4.20132E+00
 9.33820E+00, 1.71491E+01, 4.30715E+00
 9.58820E+00, 1.67781E+01, 4.00761E+00
 9.83820E+00, 2.13583E+01, 4.66935E+00
 1.00882E+01, 1.46345E+01, 3.44776E+00
 1.03382E+01, 1.10583E+01, 3.59363E+00
 1.05882E+01, 1.71789E+01, 4.34239E+00
 1.08382E+01, 1.86305E+01, 4.09438E+00
 1.10882E+01, 2.01992E+01, 4.88832E+00
 1.13382E+01, 2.50372E+01, 4.56669E+00
 1.15882E+01, 1.32813E+01, 3.48334E+00
 1.18382E+01, 1.87699E+01, 4.78579E+00
 1.20882E+01, 2.25024E+01, 4.75223E+00
 1.23382E+01, 2.12424E+01, 4.33804E+00
 1.25882E+01, 1.50239E+01, 4.02813E+00
 1.28382E+01, 2.45499E+01, 5.31300E+00
 1.30882E+01, 2.91913E+01, 5.41749E+00
 1.33382E+01, 2.24895E+01, 4.23332E+00
 1.35882E+01, 2.28780E+01, 4.61779E+00
 1.38382E+01, 1.50056E+01, 4.42291E+00
 1.40882E+01, 2.78247E+01, 5.33526E+00
 1.43382E+01, 2.81422E+01, 5.40457E+00
 1.45882E+01, 2.52895E+01, 4.77762E+00
 1.48382E+01, 1.90421E+01, 4.30685E+00
 1.50882E+01, 2.10067E+01, 4.69038E+00
 1.53382E+01, 3.09038E+01, 6.07861E+00
 1.55882E+01, 3.38412E+01, 5.11450E+00
 1.58382E+01, 2.20330E+01, 4.86830E+00
 1.60882E+01, 1.56111E+01, 3.79462E+00
 1.63382E+01, 2.22985E+01, 5.03579E+00
 1.65882E+01, 3.17090E+01, 5.65412E+00
 1.68382E+01, 2.57392E+01, 5.13167E+00
 1.70882E+01, 2.51425E+01, 4.75983E+00
 1.73382E+01, 2.35961E+01, 5.05286E+00
 1.75882E+01, 1.85809E+01, 3.82048E+00
 1.78382E+01, 2.14855E+01, 5.35410E+00
 1.80882E+01, 2.65556E+01, 4.50169E+00
 1.83382E+01, 2.53753E+01, 5.78699E+00
 1.85882E+01, 2.89475E+01, 4.86261E+00
 1.88382E+01, 2.80348E+01, 5.40537E+00
 1.90882E+01, 2.73661E+01, 5.76757E+00
 1.93382E+01, 3.43073E+01, 5.51512E+00
 1.95882E+01, 2.44248E+01, 4.45615E+00
 1.98382E+01, 2.05572E+01, 4.62337E+00
 2.00882E+01, 2.07899E+01, 4.51481E+00
 2.03382E+01, 2.50450E+01, 5.48940E+00
 2.05882E+01, 2.51247E+01, 4.75452E+00
 2.08382E+01, 2.22030E+01, 5.16961E+00
 2.10882E+01, 3.28151E+01, 5.96030E+00
 2.13382E+01, 3.33041E+01, 5.33945E+00
 2.15882E+01, 2.59744E+01, 5.07721E+00
 2.18382E+01, 2.55258E+01, 4.83196E+00
 2.20882E+01, 2.94362E+01, 5.78496E+00
 2.23382E+01, 2.78276E+01, 5.54208E+00
 2.25882E+01, 3.74630E+01, 6.10208E+00
 2.28382E+01, 2.78030E+01, 4.95968E+00
 2.30882E+01, 2.85024E+01, 5.67979E+00
 2.33382E+01, 3.00344E+01, 5.24994E+00
 2.35882E+01, 2.45077E+01, 5.24816E+00
 2.38382E+01, 3.79058E+01, 6.53720E+00
 2.40882E+01, 3.69943E+01, 5.57143E+00
 2.43382E+01, 3.08090E+01, 6.21001E+00
 2.45882E+01, 3.93991E+01, 6.21272E+00
 2.48382E+01, 4.57857E+01, 6.76795E+00
 2.50882E+01, 4.30819E+01, 6.18221E+00
 2.53382E+01, 4.31663E+01, 7.08009E+00
 2.55882E+01, 3.60312E+01, 5.49643E+00
 2.58382E+01, 3.54156E+01, 6.54974E+00
 2.60882E+01, 4.15231E+01, 6.07558E+00
 2.63382E+01, 3.44000E+01, 5.91715E+00
 2.65882E+01, 2.77970E+01, 5.00160E+00
 2.68382E+01, 2.92636E+01, 5.82780E+00
 2.70882E+01, 3.55231E+01, 5.76175E+00
 2.73382E+01, 2.80674E+01, 5.54887E+00
 2.75882E+01, 3.44167E+01, 6.39712E+00
 2.78382E+01, 4.37075E+01, 6.39693E+00
 2.80882E+01, 3.71356E+01, 5.88665E+00
 2.83382E+01, 3.52675E+01, 5.85867E+00
 2.85882E+01, 3.09731E+01, 5.62486E+00
 2.88382E+01, 3.01940E+01, 5.93221E+00
 2.90882E+01, 3.48702E+01, 5.42377E+00
 2.93382E+01, 2.61746E+01, 5.53356E+00
 2.95882E+01, 3.16111E+01, 5.53690E+00
 2.98382E+01, 3.57310E+01, 5.85813E+00
 3.00882E+01, 3.07633E+01, 6.08723E+00
 3.03382E+01, 3.57667E+01, 6.03116E+00
 3.05882E+01, 3.35216E+01, 5.38403E+00
 3.08382E+01, 2.72593E+01, 5.18261E+00
 3.10882E+01, 2.02698E+01, 4.15073E+00
 3.13382E+01, 2.03395E+01, 4.91919E+00
 3.15882E+01, 2.95669E+01, 5.27398E+00
 3.18382E+01, 2.09286E+01, 4.70945E+00
 3.20882E+01, 2.44571E+01, 5.13644E+00
 3.23382E+01, 2.89286E+01, 5.82139E+00
 3.25882E+01, 3.53289E+01, 5.64363E+00
 3.28382E+01, 2.16168E+01, 4.58668E+00
 3.30882E+01, 2.72377E+01, 5.26473E+00
 3.33382E+01, 3.23441E+01, 5.62558E+00
 3.35882E+01, 2.32799E+01, 5.30205E+00
 3.38382E+01, 3.00663E+01, 5.42400E+00
 3.40882E+01, 2.56080E+01, 5.07198E+00
 3.43382E+01, 2.44435E+01, 5.58888E+00
 3.45882E+01, 3.60529E+01, 5.40548E+00
 3.48382E+01, 2.70015E+01, 5.31296E+00
 3.50882E+01, 2.30023E+01, 5.10451E+00
 3.53382E+01, 2.47947E+01, 5.08594E+00
 3.55882E+01, 2.67788E+01, 5.27694E+00
 3.58382E+01, 3.05101E+01, 5.53960E+00
 3.60882E+01, 2.63455E+01, 5.01575E+00
 3.63382E+01, 2.84060E+01, 5.31135E+00
 3.65882E+01, 2.71450E+01, 5.49610E+00
 3.68382E+01, 2.31089E+01, 4.30465E+00
 3.70882E+01, 1.52015E+01, 4.32755E+00
 3.73382E+01, 2.23217E+01, 4.56278E+00
 3.75882E+01, 1.38356E+01, 3.45520E+00
 3.78382E+01, 1.78776E+01, 4.67002E+00
 3.80882E+01, 1.46618E+01, 4.04408E+00
 3.83382E+01, 2.19293E+01, 4.64005E+00
 3.85882E+01, 2.02372E+01, 4.73355E+00
 3.88382E+01, 2.39289E+01, 4.66331E+00
 3.90882E+01, 1.70195E+01, 4.71052E+00
 3.93382E+01, 2.12438E+01, 4.43916E+00
 3.95882E+01, 2.04498E+01, 4.86110E+00
 3.98382E+01, 2.63740E+01, 5.06437E+00
 4.00882E+01, 2.03004E+01, 4.60503E+00
 4.03382E+01, 2.07921E+01, 4.88613E+00
 4.05882E+01, 2.51658E+01, 5.30111E+00
 4.08382E+01, 2.37524E+01, 4.44304E+00
 4.10882E+01, 2.12716E+01, 4.85483E+00
 4.13382E+01, 1.69943E+01, 4.25062E+00
 4.15882E+01, 2.19178E+01, 4.52891E+00
 4.18382E+01, 1.66257E+01, 4.27924E+00
 4.20882E+01, 1.86801E+01, 4.47363E+00
 4.23382E+01, 1.65724E+01, 3.62571E+00
 4.25882E+01, 1.68991E+01, 4.52834E+00
 4.28382E+01, 1.59032E+01, 4.25942E+00
 4.30882E+01, 1.92481E+01, 4.70470E+00
 4.33382E+01, 2.29236E+01, 4.02656E+00
 4.35882E+01, 1.25943E+01, 4.35040E+00
