PHOENIX module padd; 10/31/16 at 13:23:38 -07:00
energy (meV),normalization function
 6.80100E+01, 1.22291E+00
 6.82600E+01, 1.22163E+00
 6.85100E+01, 1.22336E+00
 6.87600E+01, 1.21991E+00
 6.90100E+01, 1.22249E+00
 6.92700E+01, 1.22413E+00
 6.95200E+01, 1.22533E+00
 6.97700E+01, 1.23031E+00
 7.00200E+01, 1.22893E+00
 7.02700E+01, 1.23507E+00
 7.05200E+01, 1.23358E+00
 7.07800E+01, 1.25070E+00
 7.10300E+01, 1.25785E+00
 7.12800E+01, 1.26431E+00
 7.15000E+01, 1.26371E+00
 7.17500E+01, 1.26645E+00
 7.20000E+01, 1.27174E+00
 7.22500E+01, 1.26326E+00
 7.25000E+01, 1.25684E+00
 7.27500E+01, 1.24614E+00
 7.30100E+01, 1.24108E+00
 7.32600E+01, 1.23528E+00
 7.35100E+01, 1.23101E+00
 7.37600E+01, 1.22881E+00
 7.40100E+01, 1.22956E+00
 7.42600E+01, 1.23446E+00
 7.45200E+01, 1.23334E+00
 7.47700E+01, 1.23552E+00
 7.50200E+01, 1.23900E+00
 7.52700E+01, 1.25461E+00
 7.55200E+01, 1.26177E+00
 7.57800E+01, 1.26536E+00
 7.60300E+01, 1.26336E+00
 7.62800E+01, 1.26779E+00
 7.65300E+01, 1.26821E+00
 7.67500E+01, 1.27261E+00
 7.70000E+01, 1.27310E+00
 7.72500E+01, 1.27910E+00
 7.75000E+01, 1.27129E+00
 7.77500E+01, 1.26234E+00
 7.80000E+01, 1.25445E+00
 7.82600E+01, 1.24974E+00
 7.85100E+01, 1.24357E+00
 7.87600E+01, 1.24117E+00
 7.90100E+01, 1.24170E+00
 7.92600E+01, 1.24676E+00
 7.95200E+01, 1.24632E+00
 7.97700E+01, 1.25914E+00
 8.00200E+01, 1.26186E+00
 8.02700E+01, 1.26906E+00

-7.97300E+01, 9.74877E-01
-7.94800E+01, 9.75106E-01
-7.92300E+01, 9.77104E-01
-7.89800E+01, 9.77295E-01
-7.87200E+01, 9.78027E-01
-7.84700E+01, 9.77613E-01
-7.82200E+01, 9.77963E-01
-7.79700E+01, 9.78122E-01
-7.77200E+01, 9.78074E-01
-7.75000E+01, 9.78265E-01
-7.72500E+01, 9.78170E-01
-7.70000E+01, 9.78265E-01
-7.67500E+01, 9.79078E-01
-7.64900E+01, 9.79413E-01
-7.62400E+01, 9.78935E-01
-7.59900E+01, 9.77947E-01
-7.57400E+01, 9.77231E-01
-7.54900E+01, 9.76993E-01
-7.52400E+01, 9.76358E-01
-7.49800E+01, 9.76025E-01
-7.47300E+01, 9.75977E-01
-7.44800E+01, 9.76739E-01
-7.42300E+01, 9.77820E-01
-7.39800E+01, 9.77661E-01
-7.37200E+01, 9.76866E-01
-7.34700E+01, 9.75043E-01
-7.32200E+01, 9.75629E-01
-7.29700E+01, 9.74822E-01
-7.27200E+01, 9.75344E-01
-7.25000E+01, 9.74395E-01
-7.22500E+01, 9.74790E-01
-7.20000E+01, 9.74490E-01
-7.17500E+01, 9.74569E-01
-7.15000E+01, 9.74079E-01
-7.12400E+01, 9.73637E-01
-7.09900E+01, 9.72849E-01
-7.07400E+01, 9.73211E-01
-7.04900E+01, 9.73180E-01
-7.02400E+01, 9.73322E-01
-6.99800E+01, 9.73621E-01
-6.97300E+01, 9.73637E-01
-6.94800E+01, 9.72802E-01
-6.92300E+01, 9.71543E-01
-6.89800E+01, 9.72078E-01
-6.87300E+01, 9.72786E-01
-6.84700E+01, 9.74079E-01
