PHOENIX module padd; 10/31/16 at 13:23:38 -07:00
energy (meV),shifted spectra
 4.83820E+00, 6.80053E+00
 5.08820E+00, 3.11108E+00
 5.33820E+00, 4.95551E+00
 5.58820E+00, 3.66849E+00
 5.83820E+00, 1.13919E+00
 6.08820E+00, 2.80281E+00
 6.33820E+00, 1.26859E+00
 6.58820E+00, 5.03444E+00
 6.83820E+00, 4.95893E+00
 7.08820E+00, 3.96502E+00
 7.33820E+00, 2.89241E+00
 7.58820E+00, 1.02650E+00
 7.83820E+00, 3.19952E+00
 8.08820E+00, 7.05530E+00
 8.33820E+00, 6.05780E+00
 8.58820E+00, 4.02037E+00
 8.83820E+00, 5.00102E+00
 9.08820E+00, 4.96200E+00
 9.33820E+00, 4.96861E+00
 9.58820E+00, 3.98567E+00
 9.83820E+00, 5.91841E+00
 1.00882E+01, 2.16942E+00
 1.03382E+01, 1.92748E+00
 1.05882E+01, 4.13094E+00
 1.08382E+01, 4.76423E+00
 1.10882E+01, 3.33557E+00
 1.13382E+01, 6.80421E+00
 1.15882E+01, 4.12177E+00
 1.18382E+01, 7.03828E+00
 1.20882E+01, 5.94631E+00
 1.23382E+01, 3.95394E+00
 1.25882E+01, 3.03224E+00
 1.28382E+01, 4.14372E+00
 1.30882E+01, 6.06976E+00
 1.33382E+01, 4.06426E+00
 1.35882E+01, 1.01931E+01
 1.38382E+01, 3.04812E+00
 1.40882E+01, 7.07162E+00
 1.43382E+01, 5.02153E+00
 1.45882E+01, 7.92815E+00
 1.48382E+01, 2.23936E+00
 1.50882E+01, 4.83250E+00
 1.53382E+01, 6.00353E+00
 1.55882E+01, 7.18873E+00
 1.58382E+01, 6.48979E+00
 1.60882E+01, 1.10495E+00
 1.63382E+01, 5.70899E+00
 1.65882E+01, 1.06448E+01
 1.68382E+01, 4.02660E+00
 1.70882E+01, 5.04835E+00
 1.73382E+01, 3.99389E+00
 1.75882E+01, 3.12428E+00
 1.78382E+01, 5.11708E+00
 1.80882E+01, 5.17689E+00
 1.83382E+01, 6.17956E+00
 1.85882E+01, 5.17582E+00
 1.88382E+01, 8.31504E+00
 1.90882E+01, 3.13558E+00
 1.93382E+01, 7.28630E+00
 1.95882E+01, 5.18531E+00
 1.98382E+01, 4.09318E+00
 2.00882E+01, 6.01999E+00
 2.03382E+01, 8.09491E+00
 2.05882E+01, 5.23119E+00
 2.08382E+01, 3.11206E+00
 2.10882E+01, 5.27853E+00
 2.13382E+01, 6.96325E+00
 2.15882E+01, 6.49662E+00
 2.18382E+01, 1.12750E+01
 2.20882E+01, 9.99863E+00
