@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 10/31/16 at 12:49:49 -07:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "one-phonon contribution (1/eV)"
@type xy
  4.63481E+01  1.02273E+00
  4.65973E+01  9.30059E-01
  4.68465E+01  9.02712E-01
  4.70957E+01  9.47059E-01
  4.73448E+01  9.76611E-01
  4.75940E+01  9.48235E-01
  4.78432E+01  9.41948E-01
  4.80924E+01  9.77549E-01
  4.83416E+01  9.95686E-01
  4.85908E+01  9.79682E-01
  4.88399E+01  9.69813E-01
  4.90891E+01  9.81349E-01
  4.93383E+01  1.00168E+00
  4.95875E+01  1.04666E+00
  4.98367E+01  1.12965E+00
  5.00859E+01  1.20443E+00
  5.03350E+01  1.22882E+00
  5.05842E+01  1.23974E+00
  5.08334E+01  1.30597E+00
  5.10826E+01  1.41635E+00
  5.13318E+01  1.48286E+00
  5.15810E+01  1.47544E+00
  5.18301E+01  1.47668E+00
  5.20793E+01  1.54117E+00
  5.23285E+01  1.62017E+00
  5.25777E+01  1.60347E+00
  5.28269E+01  1.48187E+00
  5.30761E+01  1.37206E+00
  5.33252E+01  1.32652E+00
  5.35744E+01  1.31188E+00
  5.38236E+01  1.27915E+00
  5.40728E+01  1.20527E+00
  5.43220E+01  1.10717E+00
  5.45712E+01  1.00929E+00
  5.48203E+01  9.14575E-01
  5.50695E+01  8.17280E-01
  5.53187E+01  7.37421E-01
  5.55679E+01  6.97535E-01
  5.58171E+01  6.47103E-01
  5.60663E+01  5.44835E-01
  5.63154E+01  4.33818E-01
  5.65646E+01  3.68261E-01
  5.68138E+01  3.29481E-01
  5.70630E+01  2.99760E-01
  5.73122E+01  2.76815E-01
  5.75614E+01  2.25979E-01
  5.78105E+01  1.52456E-01
  5.80597E+01  1.05467E-01
  5.83089E+01  1.00323E-01
  5.85581E+01  1.01605E-01
  5.88073E+01  6.95660E-02
  5.90565E+01  3.58128E-02
  5.93056E+01  4.00710E-02
  5.95548E+01  5.54026E-02
  5.98040E+01  5.72728E-02
  6.00532E+01  6.02320E-02
  6.03024E+01  6.29166E-02
  6.05516E+01  5.31354E-02
  6.08007E+01  4.44591E-02
  6.10499E+01  4.47892E-02
  6.12991E+01  4.34028E-02
  6.15483E+01  3.71161E-02
  6.17975E+01  2.91698E-02
  6.20467E+01  2.65477E-02
  6.22958E+01  4.62085E-02
  6.25450E+01  6.79849E-02
  6.27942E+01  4.41244E-02
  6.30434E+01 -9.00827E-04
  6.32926E+01 -1.77575E-02
  6.35418E+01 -1.84622E-02
  6.37909E+01 -1.98750E-02
  6.40401E+01 -1.92131E-02
  6.42893E+01 -8.16259E-03
  6.45385E+01  2.14011E-02
  6.47877E+01  4.81623E-02
  6.50369E+01  4.81335E-02
  6.52860E+01  3.33846E-02
  6.55352E+01  1.84843E-02
  6.57844E+01  8.80232E-03
  6.60336E+01  2.36638E-03
  6.62828E+01 -7.64707E-03
  6.65320E+01 -2.27723E-02
  6.67811E+01 -3.08001E-02
  6.70303E+01 -2.63968E-02
  6.72795E+01 -1.42873E-02
  6.75287E+01 -4.00932E-04
  6.77779E+01 -1.58080E-03
  6.80271E+01 -1.74095E-02
  6.82762E+01 -1.24763E-02
  6.85254E+01  1.96908E-02
  6.87746E+01  4.12193E-02
  6.90238E+01  3.39256E-02
  6.92730E+01  2.44319E-02
  6.95222E+01  2.44738E-02
  6.97713E+01  2.53337E-02
  7.00205E+01  2.21440E-02
  7.02697E+01  9.79853E-03
  7.05189E+01 -7.06306E-03
  7.07681E+01 -1.49842E-02
  7.10173E+01 -8.47822E-03
  7.12664E+01  4.46337E-03
  7.15156E+01  1.43632E-03
  7.17648E+01 -1.40504E-02
  7.20140E+01 -2.23946E-02
  7.22632E+01 -2.35283E-02
  7.25124E+01 -1.71080E-02
  7.27615E+01 -3.54126E-03
