PHOENIX module padd; 10/30/16 at 15:29:20 -07:00
energy (meV),shifted spectra
-2.80291E+01, 5.04854E+01
-2.77301E+01, 4.94845E+01
-2.74311E+01, 4.01642E+01
-2.71320E+01, 5.10838E+01
-2.68330E+01, 6.71433E+01
-2.65339E+01, 5.79566E+01
-2.62349E+01, 5.92194E+01
-2.59359E+01, 4.84343E+01
-2.56368E+01, 5.25298E+01
-2.53378E+01, 5.86418E+01
-2.50387E+01, 5.94248E+01
-2.47397E+01, 6.13351E+01
-2.44407E+01, 5.37709E+01
-2.41416E+01, 5.46349E+01
-2.38426E+01, 6.54719E+01
-2.35435E+01, 8.20114E+01
-2.32445E+01, 8.21313E+01
-2.29455E+01, 7.79308E+01
-2.26464E+01, 7.22402E+01
-2.23474E+01, 8.16310E+01
-2.20484E+01, 8.31149E+01
-2.17493E+01, 7.00664E+01
-2.14503E+01, 7.24609E+01
-2.11512E+01, 7.74908E+01
-2.08522E+01, 7.66520E+01
-2.05532E+01, 8.06788E+01
-2.02541E+01, 7.66257E+01
-1.99551E+01, 7.38202E+01
-1.96560E+01, 7.31179E+01
-1.93570E+01, 8.74610E+01
-1.90580E+01, 8.09759E+01
-1.87589E+01, 6.91219E+01
-1.84599E+01, 7.01426E+01
-1.81608E+01, 6.40258E+01
-1.78618E+01, 6.34739E+01
-1.75628E+01, 6.92847E+01
-1.72637E+01, 5.90020E+01
-1.69647E+01, 6.52263E+01
-1.66657E+01, 6.98436E+01
-1.63666E+01, 6.00193E+01
-1.60676E+01, 6.20870E+01
-1.57685E+01, 6.72473E+01
-1.54695E+01, 5.49336E+01
-1.51705E+01, 5.82566E+01
-1.48714E+01, 6.01285E+01
-1.45724E+01, 6.12726E+01
-1.42733E+01, 5.59576E+01
-1.39743E+01, 5.56993E+01
-1.36753E+01, 6.51555E+01
-1.33762E+01, 5.83576E+01
-1.30772E+01, 5.47262E+01
-1.27781E+01, 5.52322E+01
-1.24791E+01, 5.51043E+01
-1.21801E+01, 6.62962E+01
-1.18810E+01, 6.48982E+01
-1.15820E+01, 5.60961E+01
-1.12829E+01, 6.07682E+01
-1.09839E+01, 5.99468E+01
-1.06849E+01, 6.49824E+01
-1.03858E+01, 7.05155E+01
-1.00868E+01, 7.30343E+01
-9.78775E+00, 6.64976E+01
-9.48871E+00, 6.59190E+01
-9.18968E+00, 6.55454E+01
-8.89064E+00, 5.77076E+01
-8.59160E+00, 6.13445E+01
-8.29256E+00, 5.95861E+01
-7.99352E+00, 6.36150E+01
-7.69448E+00, 7.34418E+01
-7.39544E+00, 7.05874E+01
-7.09640E+00, 6.62276E+01
-6.79736E+00, 6.50752E+01
-6.49832E+00, 7.01790E+01
-6.19929E+00, 7.23946E+01
-5.90025E+00, 6.97145E+01
-5.60121E+00, 7.68359E+01
-5.30217E+00, 8.18697E+01
-5.00313E+00, 7.01546E+01
-4.70409E+00, 7.63873E+01
-4.40505E+00, 8.10394E+01
-4.10601E+00, 8.12454E+01
-3.80697E+00, 8.16310E+01
-3.50793E+00, 7.84666E+01
-3.20890E+00, 7.40264E+01
-2.90986E+00, 8.25819E+01
-2.61082E+00, 8.45719E+01
-2.31178E+00, 9.68879E+01
-2.01274E+00, 1.41112E+02
-1.71370E+00, 1.68638E+02
-1.41466E+00, 2.27847E+02
-1.11562E+00, 3.77807E+02
-8.16583E-01, 7.70853E+02
-5.17544E-01, 1.76723E+03
-2.18505E-01, 3.02760E+03
 8.05343E-02, 3.34390E+03
 3.79573E-01, 2.22792E+03
 6.78612E-01, 9.64183E+02
 9.77651E-01, 4.31718E+02
 1.27669E+00, 2.48146E+02
 1.57573E+00, 1.48175E+02
 1.87477E+00, 1.28663E+02
 2.17381E+00, 1.31812E+02
 2.47285E+00, 1.13990E+02
 2.77189E+00, 1.14130E+02
 3.07092E+00, 1.02130E+02
 3.36996E+00, 8.68790E+01
 3.66900E+00, 8.49791E+01
 3.96804E+00, 8.61497E+01
 4.26708E+00, 8.88694E+01
 4.56612E+00, 9.45155E+01
 4.86516E+00, 9.87147E+01
 5.16420E+00, 7.86633E+01
 5.46324E+00, 7.13201E+01
 5.76228E+00, 7.71836E+01
 6.06132E+00, 7.79276E+01
 6.36035E+00, 7.38099E+01
 6.65939E+00, 9.56915E+01
 6.95843E+00, 8.72914E+01
 7.25747E+00, 8.93019E+01
 7.55651E+00, 9.35070E+01
 7.85555E+00, 8.39702E+01
 8.15459E+00, 8.19621E+01
 8.45363E+00, 7.36903E+01
 8.75267E+00, 7.77052E+01
 9.05171E+00, 7.85028E+01
 9.35074E+00, 7.56173E+01
 9.64978E+00, 8.26657E+01
 9.94882E+00, 8.32220E+01
 1.02479E+01, 9.33091E+01
 1.05469E+01, 9.58366E+01
 1.08459E+01, 7.94032E+01
 1.11450E+01, 9.30053E+01
 1.14440E+01, 9.55733E+01
 1.17431E+01, 9.40350E+01
 1.20421E+01, 9.48643E+01
 1.23411E+01, 8.70995E+01
 1.26402E+01, 8.92340E+01
 1.29392E+01, 8.84291E+01
 1.32383E+01, 8.37953E+01
 1.35373E+01, 9.29412E+01
 1.38363E+01, 1.07691E+02
 1.41354E+01, 1.01725E+02
 1.44344E+01, 9.73064E+01
 1.47334E+01, 1.05646E+02
 1.50325E+01, 1.02726E+02
 1.53315E+01, 1.01439E+02
 1.56306E+01, 1.02799E+02
 1.59296E+01, 1.19447E+02
 1.62286E+01, 1.24506E+02
 1.65277E+01, 1.09939E+02
 1.68267E+01, 1.11730E+02
 1.71258E+01, 1.27408E+02
 1.74248E+01, 1.17577E+02
 1.77238E+01, 1.28285E+02
 1.80229E+01, 1.40712E+02
 1.83219E+01, 1.32249E+02
 1.86210E+01, 1.58077E+02
 1.89200E+01, 1.73427E+02
 1.92190E+01, 1.86067E+02
 1.95181E+01, 1.81090E+02
 1.98171E+01, 1.72360E+02
 2.01161E+01, 1.67100E+02
 2.04152E+01, 1.93982E+02
 2.07142E+01, 1.93278E+02
 2.10133E+01, 1.84227E+02
 2.13123E+01, 1.93150E+02
