PHOENIX module padd; 10/30/16 at 15:29:20 -07:00
energy (meV),monitor function
-2.11512E+01, 5.12924E+07
-2.08522E+01, 5.11578E+07
-2.05532E+01, 5.10152E+07
-2.02541E+01, 5.10098E+07
-1.99551E+01, 5.10500E+07
-1.96560E+01, 5.09860E+07
-1.93570E+01, 5.10240E+07
-1.90580E+01, 5.11235E+07
-1.87589E+01, 5.10711E+07
-1.84599E+01, 5.10372E+07
-1.81608E+01, 5.10324E+07
-1.78618E+01, 5.10485E+07
-1.75628E+01, 5.12016E+07
-1.72637E+01, 5.11745E+07
-1.69647E+01, 5.10492E+07
-1.66657E+01, 5.10264E+07
-1.63666E+01, 5.11108E+07
-1.60676E+01, 5.12910E+07
-1.57685E+01, 5.11722E+07
-1.54695E+01, 5.11642E+07
-1.51705E+01, 5.11766E+07
-1.48714E+01, 5.10397E+07
-1.45724E+01, 5.10354E+07
-1.42733E+01, 5.11074E+07
-1.39743E+01, 5.12211E+07
-1.36753E+01, 5.11137E+07
-1.33762E+01, 5.09158E+07
-1.30772E+01, 5.10850E+07
-1.27781E+01, 5.10487E+07
-1.24791E+01, 5.10373E+07
-1.21801E+01, 5.11098E+07
-1.18810E+01, 5.10614E+07
-1.15820E+01, 5.11861E+07
-1.12829E+01, 5.11835E+07
-1.09839E+01, 5.09970E+07
-1.06849E+01, 5.09643E+07
-1.03858E+01, 5.09821E+07
-1.00868E+01, 5.09957E+07
-9.78775E+00, 5.08864E+07
-9.48871E+00, 5.09508E+07
-9.18968E+00, 5.12228E+07
-8.89064E+00, 5.12687E+07
-8.59160E+00, 5.11169E+07
-8.29256E+00, 5.11690E+07
-7.99352E+00, 5.11763E+07
-7.69448E+00, 5.10360E+07
-7.39544E+00, 5.11107E+07
-7.09640E+00, 5.11856E+07
-6.79736E+00, 5.11889E+07
-6.49832E+00, 5.10321E+07
-6.19929E+00, 5.08659E+07
-5.90025E+00, 5.09539E+07
-5.60121E+00, 5.10532E+07
-5.30217E+00, 5.10166E+07
-5.00313E+00, 5.10568E+07
-4.70409E+00, 5.11087E+07
-4.40505E+00, 5.08272E+07
-4.10601E+00, 5.07087E+07
-3.80697E+00, 5.09518E+07
-3.50793E+00, 5.10581E+07
-3.20890E+00, 5.10768E+07
-2.90986E+00, 5.10746E+07
-2.61082E+00, 5.09226E+07
-2.31178E+00, 5.08970E+07
-2.01274E+00, 5.09751E+07
-1.71370E+00, 5.09805E+07
-1.41466E+00, 5.09810E+07
-1.11562E+00, 5.09261E+07
-8.16583E-01, 5.10035E+07
